"","date","country","temporary_rate"
"728",2022-01-01,"montenegro",NA
"729",2022-01-01,"north_macedonia",NA
"730",2022-01-01,"serbia",5.8
"731",2022-01-01,"turkiye",9.2
"732",2023-01-01,"croatia",3.7
"733",2023-01-01,"italy",17.6
"734",2023-01-01,"cyprus",8.3
"735",2023-01-01,"latvia",6.8
"736",2023-01-01,"lithuania",5.9
"737",2023-01-01,"luxembourg",18.2
"738",2023-01-01,"hungary",4
"739",2023-01-01,"malta",10.6
"740",2023-01-01,"netherlands",42.4
"741",2023-01-01,"austria",30.1
"742",2023-01-01,"poland",5.7
"743",2023-01-01,"portugal",7.3
"744",2023-01-01,"romania",3.4
"745",2023-01-01,"slovenia",8.5
"746",2023-01-01,"slovakia",3.3
"747",2023-01-01,"finland",16.8
"748",2023-01-01,"sweden",19.9
"749",2023-01-01,"iceland",20.2
"750",2023-01-01,"norway",24.2
"751",2023-01-01,"switzerland",38
"752",2023-01-01,"bosnia_and_herzegovina",2.8
"753",2023-01-01,"montenegro",NA
"754",2023-01-01,"north_macedonia",NA
"755",2023-01-01,"serbia",5.9
"756",2023-01-01,"turkiye",9.6
